Experiment ID	luminose_hf_goNogo
Animal ID	LUMI-0013
Researcher	Test
Directory path	


Number	Start Time	End Time	Time From Start	Channel	Annotation
204	03/25/26 18:02:52.911	03/25/26 18:02:52.911	85.3957	EMG	TTL 3: Rise
205	03/25/26 18:02:53.910	03/25/26 18:02:53.910	86.3952	EEG1	TTL 3: Fall
206	03/25/26 18:02:53.910	03/25/26 18:02:53.910	86.3952	EEG2	TTL 3: Fall
207	03/25/26 18:02:53.910	03/25/26 18:02:53.910	86.3952	EMG	TTL 3: Fall
208	03/25/26 18:02:54.912	03/25/26 18:02:54.912	87.3971	EEG1	TTL 3: Rise
209	03/25/26 18:02:54.912	03/25/26 18:02:54.912	87.3971	EEG2	TTL 3: Rise
210	03/25/26 18:02:54.912	03/25/26 18:02:54.912	87.3971	EMG	TTL 3: Rise
211	03/25/26 18:02:55.914	03/25/26 18:02:55.914	88.3989	EEG1	TTL 3: Fall
212	03/25/26 18:02:55.914	03/25/26 18:02:55.914	88.3989	EEG2	TTL 3: Fall
213	03/25/26 18:02:55.914	03/25/26 18:02:55.914	88.3989	EMG	TTL 3: Fall
214	03/25/26 18:02:55.972	03/25/26 18:02:55.972	88.4565	EEG1	TTL 3: Rise
215	03/25/26 18:02:55.972	03/25/26 18:02:55.972	88.4565	EEG2	TTL 3: Rise
216	03/25/26 18:02:55.972	03/25/26 18:02:55.972	88.4565	EMG	TTL 3: Rise
217	03/25/26 18:02:56.009	03/25/26 18:02:56.009	88.4941	EEG1	TTL 3: Fall
218	03/25/26 18:02:56.009	03/25/26 18:02:56.009	88.4941	EEG2	TTL 3: Fall
219	03/25/26 18:02:56.009	03/25/26 18:02:56.009	88.4941	EMG	TTL 3: Fall
220	03/25/26 18:02:57.650	03/25/26 18:02:57.650	90.1345	EEG1	TTL 3: Rise
221	03/25/26 18:02:57.650	03/25/26 18:02:57.650	90.1345	EEG2	TTL 3: Rise
222	03/25/26 18:02:57.650	03/25/26 18:02:57.650	90.1345	EMG	TTL 3: Rise
223	03/25/26 18:02:58.649	03/25/26 18:02:58.649	91.1337	EEG1	TTL 3: Fall
224	03/25/26 18:02:58.649	03/25/26 18:02:58.649	91.1337	EEG2	TTL 3: Fall
225	03/25/26 18:02:58.649	03/25/26 18:02:58.649	91.1337	EMG	TTL 3: Fall
226	03/25/26 18:02:59.651	03/25/26 18:02:59.651	92.1356	EEG1	TTL 3: Rise
227	03/25/26 18:02:59.651	03/25/26 18:02:59.651	92.1356	EEG2	TTL 3: Rise
228	03/25/26 18:02:59.651	03/25/26 18:02:59.651	92.1356	EMG	TTL 3: Rise
229	03/25/26 18:03:00.653	03/25/26 18:03:00.653	93.1376	EEG1	TTL 3: Fall
230	03/25/26 18:03:00.653	03/25/26 18:03:00.653	93.1376	EEG2	TTL 3: Fall
231	03/25/26 18:03:00.653	03/25/26 18:03:00.653	93.1376	EMG	TTL 3: Fall
232	03/25/26 18:03:01.670	03/25/26 18:03:01.670	94.1546	EEG1	TTL 3: Rise
233	03/25/26 18:03:01.670	03/25/26 18:03:01.670	94.1546	EEG2	TTL 3: Rise
234	03/25/26 18:03:01.670	03/25/26 18:03:01.670	94.1546	EMG	TTL 3: Rise
235	03/25/26 18:03:02.669	03/25/26 18:03:02.669	95.1540	EEG1	TTL 3: Fall
236	03/25/26 18:03:02.669	03/25/26 18:03:02.669	95.1540	EEG2	TTL 3: Fall
237	03/25/26 18:03:02.669	03/25/26 18:03:02.669	95.1540	EMG	TTL 3: Fall
238	03/25/26 18:03:07.671	03/25/26 18:03:07.671	100.1556	EEG1	TTL 3: Rise
239	03/25/26 18:03:07.671	03/25/26 18:03:07.671	100.1556	EEG2	TTL 3: Rise
240	03/25/26 18:03:07.671	03/25/26 18:03:07.671	100.1556	EMG	TTL 3: Rise
241	03/25/26 18:03:08.670	03/25/26 18:03:08.670	101.1548	EEG1	TTL 3: Fall
242	03/25/26 18:03:08.670	03/25/26 18:03:08.670	101.1548	EEG2	TTL 3: Fall
243	03/25/26 18:03:08.670	03/25/26 18:03:08.670	101.1548	EMG	TTL 3: Fall
244	03/25/26 18:03:09.672	03/25/26 18:03:09.672	102.1565	EEG1	TTL 3: Rise
245	03/25/26 18:03:09.672	03/25/26 18:03:09.672	102.1565	EEG2	TTL 3: Rise
246	03/25/26 18:03:09.672	03/25/26 18:03:09.672	102.1565	EMG	TTL 3: Rise
247	03/25/26 18:03:10.673	03/25/26 18:03:10.673	103.1582	EEG1	TTL 3: Fall
248	03/25/26 18:03:10.673	03/25/26 18:03:10.673	103.1582	EEG2	TTL 3: Fall
249	03/25/26 18:03:10.673	03/25/26 18:03:10.673	103.1582	EMG	TTL 3: Fall
250	03/25/26 18:03:10.834	03/25/26 18:03:10.834	103.3185	EEG1	TTL 3: Rise
251	03/25/26 18:03:10.834	03/25/26 18:03:10.834	103.3185	EEG2	TTL 3: Rise
252	03/25/26 18:03:10.834	03/25/26 18:03:10.834	103.3185	EMG	TTL 3: Rise
253	03/25/26 18:03:10.871	03/25/26 18:03:10.871	103.3561	EEG1	TTL 3: Fall
254	03/25/26 18:03:10.871	03/25/26 18:03:10.871	103.3561	EEG2	TTL 3: Fall
255	03/25/26 18:03:10.871	03/25/26 18:03:10.871	103.3561	EMG	TTL 3: Fall
256	03/25/26 18:03:12.429	03/25/26 18:03:12.429	104.9141	EEG1	TTL 3: Rise
257	03/25/26 18:03:12.429	03/25/26 18:03:12.429	104.9141	EEG2	TTL 3: Rise
258	03/25/26 18:03:12.429	03/25/26 18:03:12.429	104.9141	EMG	TTL 3: Rise
